id_number	plant_id	maternal_plant	population	block	continent	latitude	longitude	ft_start_date	final_height	total_branches	male_fitness_estimate	female_fitness_estimate
1	GE1	8MF	MF	1	Nam	38.40708263	-75.56824697	86	104.6	19	281.8333333	24.71150418
2	GE2	11HM	HM	1	Eur	47.62666192	19.44151603	67	18	0	3	0.496615181
3	GE3	5HJ	HJ	1	Eur	47.70273145	20.07493272	NA	NA	NA	NA	NA
4	GE4	3OM	OM	1	Nam	37.77932728	-75.61065442	88	58.8	17	102	2.281660758
5	GE5	114MI	MI	1	Nam	44.37683	-79.74113	NA	NA	NA	NA	NA
6	GE6	6SZ	SZ	1	Eur	48.74195476	19.13689272	34	49.2	18	375	4.039754993
7	GE7	10HC	HC	1	Eur	47.962356	20.894481	48	80.4	23	448.5	2.241868533
8	GE8	5SB	SB	1	Eur	49.13566482	21.55096851	48	43.8	6	181.2	7.743922953
9	GE9	7HS	HS	1	Eur	48.18515189	20.92252985	NA	NA	NA	NA	NA
10	GE10	83HR	HR	1	Eur	47.13845	19.47464	NA	NA	NA	NA	NA
11	GE11	9HK	HK	1	Eur	46.89164819	19.65085249	50	135.2	39	494	31.2709463
12	GE12	1313CB	CB	1	Nam	43.63519	-79.34576	NA	NA	NA	NA	NA
13	GE13	13PE	PE	1	Eur	51.35332297	19.60609006	40	70.2	13	110	NA
14	GE14	5DF	DF	1	Nam	39.32390625	-75.62242479	NA	NA	NA	NA	NA
15	GE15	15DH	DH	1	Nam	38.68109706	-75.07450333	32	57.4	13	455	19.63748419
16	GE16	1HS	HS	1	Eur	48.18515189	20.92252985	46	29.8	15	153	0.643388959
17	GE17	13DH	DH	1	Nam	38.68109706	-75.07450333	46	37.6	2	13	0.991862296
18	GE18	4HS	HS	1	Eur	48.18515189	20.92252985	46	56	7	88.66666667	7.365104592
19	GE19	6SZ	SZ	1	Eur	48.74195476	19.13689272	42	56.8	12	82	10.00864233
20	GE20	4FL	FL	1	Nam	44.750014	-79.704694	NA	NA	NA	NA	NA
21	GE21	12MF	MF	1	Nam	38.40708263	-75.56824697	85	41.8	8	80	1.362133068
22	GE22	6HS	HS	1	Eur	48.18515189	20.92252985	NA	NA	NA	NA	NA
23	GE23	114IN	IN	1	Nam	42.44996	-76.46113	NA	NA	NA	NA	NA
24	GE24	20SZ	SZ	1	Eur	48.74195476	19.13689272	NA	NA	NA	NA	NA
25	GE25	13HM	HM	1	Eur	47.62666192	19.44151603	54	64.8	11	77	7.286188676
26	GE26	173LH	LH	1	Eur	45.66117	4.966539	46	85.4	21	430.5	23.06678265
27	GE27	18PO	PO	1	Eur	50.22392429	19.17026453	46	65.2	21	445.2	16.6345506
28	GE28	8SB	SB	1	Eur	49.13566482	21.55096851	NA	NA	NA	NA	NA
29	GE29	3SU	SU	1	Nam	41.45751046	-77.13565654	52	70.4	13	260	15.79260193
30	GE30	165LH	LH	1	Eur	45.66117	4.966539	67	42	4	10	1.074332878
31	GE31	53SL	SL	1	Eur	49.222985	19.302752	NA	NA	NA	NA	NA
32	GE32	51MI	MI	1	Nam	44.37683	-79.74113	NA	NA	NA	NA	NA
33	GE33	65RM	RM	1	Eur	44.74194	4.940783	46	64.8	8	181.2	13.76124245
34	GE34	42WC	WC	1	Nam	44.003197	-79.393311	46	84	16	592	32.84532204
35	GE35	14PA	PA	1	Nam	39.930872	-75.583156	NA	NA	NA	NA	NA
36	GE36	21SD	SD	1	Nam	45.225364	-79.681836	44	47.4	17	170	1.220865697
37	GE37	1330CB	CB	1	Nam	43.63519	-79.34576	NA	NA	NA	NA	NA
38	GE38	16HL	HL	1	Nam	38.92013797	-75.44832488	NA	14	0	0	NA
39	GE39	10DS	DS	1	Nam	38.64183334	-75.445	81	71.2	33	783.75	25.33823024
40	GE40	17DH	DH	1	Nam	38.68109706	-75.07450333	NA	NA	NA	NA	NA
41	GE41	10DF	DF	1	Nam	39.32390625	-75.62242479	77	78.2	14	317.1	20.31417195
42	GE42	12HL	HL	1	Nam	38.92013797	-75.44832488	NA	NA	NA	NA	NA
43	GE43	1HC	HC	1	Eur	47.962356	20.894481	NA	NA	NA	NA	NA
44	GE44	5LH	LH	1	Eur	45.66117	4.966539	46	55.4	8	64	5.430111949
45	GE45	12SL	SL	1	Eur	49.222985	19.302752	NA	NA	NA	NA	NA
46	GE46	1DH	DH	1	Nam	38.68109706	-75.07450333	NA	NA	NA	NA	NA
47	GE47	10MF	MF	1	Nam	38.40708263	-75.56824697	88	110.8	21	729.75	44.82808225
48	GE48	20LH	LH	1	Eur	45.66117	4.966539	60	42.8	0	5	3.79356316
49	GE49	9HB	HB	1	Eur	47.8226962	19.089972	NA	NA	NA	NA	NA
50	GE50	6DS	DS	1	Nam	38.64183334	-75.445	54	112	22	450	32.54547382
51	GE51	18PS	PS	1	Nam	45.3347	-79.956231	34	65	15	311.25	14.7821556
52	GE52	117IN	IN	1	Nam	42.44996	-76.46113	56	85.8	30	1340	56.37288435
53	GE53	2HS	HS	1	Eur	48.18515189	20.92252985	NA	NA	NA	NA	NA
54	GE54	6HJ	HJ	1	Eur	47.70273145	20.07493272	NA	NA	NA	NA	NA
55	GE55	49PG	PG	1	Eur	43.9475	4.536631	38	85.4	10	150	18.296016
56	GE56	1318CB	CB	1	Nam	43.63519	-79.34576	63	90.2	21	903	45.07893031
57	GE57	89HR	HR	1	Eur	47.13845	19.47464	92	122.8	21	433.125	NA
58	GE58	10HC	HC	1	Eur	47.962356	20.894481	48	44.6	4	16	2.241868533
59	GE59	2PB	PB	1	Eur	50.12194	18.81494	34	64.2	16	196	8.879087036
60	GE60	3PO	PO	1	Eur	50.22392429	19.17026453	40	72.6	16	200	11.98906988
61	GE61	6OM	OM	1	Nam	37.77932728	-75.61065442	NA	NA	NA	NA	NA
62	GE62	4PB	PB	1	Eur	50.12194	18.81494	NA	NA	NA	NA	NA
63	GE63	10PS	PS	1	Nam	45.3347	-79.956231	NA	NA	NA	NA	NA
64	GE64	13PB	PB	1	Eur	50.12194	18.81494	36	NA	NA	NA	NA
65	GE65	15HR	HR	1	Eur	47.13845	19.47464	40	76	21	705.6	31.61773437
66	GE66	2BP	BP	1	Nam	39.64569554	-75.71813984	60	99.2	16	576	37.4728911
67	GE67	7HB	HB	1	Eur	47.8226962	19.089972	NA	NA	NA	NA	NA
68	GE68	6SU	SU	1	Nam	41.45751046	-77.13565654	77	44	12	453	15.52850004
69	GE69	2PV	PV	1	Eur	49.8798343	19.89245121	52	66.4	12	104	8.344035318
70	GE70	5SD	SD	1	Nam	45.225364	-79.681836	56	35.2	10	0	0.571616621
71	GE71	23PB	PB	1	Eur	50.12194	18.81494	38	47.4	17	265.2	5.317664643
72	GE72	11MF	MF	1	Nam	38.40708263	-75.56824697	74	104.6	13	251.3333333	27.38088411
73	GE73	7DS	DS	1	Nam	38.64183334	-75.445	NA	NA	NA	NA	NA
74	GE74	26WC	WC	1	Nam	44.003197	-79.393311	NA	NA	NA	NA	NA
75	GE75	18SH	SH	1	Eur	48.21292953	18.93131109	44	70.2	12	202	NA
76	GE76	2PO	PO	1	Eur	50.22392429	19.17026453	42	48.8	5	90	NA
77	GE77	5MF	MF	1	Nam	38.40708263	-75.56824697	88	101.6	18	388.2857143	28.90695283
78	GE78	14WC	WC	1	Nam	44.003197	-79.393311	56	76.2	10	120	13.7873644
79	GE79	2OM	OM	1	Nam	37.77932728	-75.61065442	92	105.6	25	78.84615385	12.34407367
80	GE80	2DS	DS	1	Nam	38.64183334	-75.445	76	120.8	14	240	31.89536971
81	GE81	16PV	PV	1	Eur	49.8798343	19.89245121	40	62.4	14	245	11.6854962
82	GE82	5FL	FL	1	Nam	44.750014	-79.704694	NA	NA	NA	NA	NA
83	GE83	12HK	HK	1	Eur	46.89164819	19.65085249	44	60.4	19	338.8333333	11.70574083
84	GE84	9LH	LH	1	Eur	45.66117	4.966539	65	64.8	7	61.25	9.263012643
85	GE85	94WV	WV	1	Nam	39.6584	-79.90525	63	58.2	12	101	5.347034845
86	GE86	88MI	MI	1	Nam	44.37683	-79.74113	NA	43.6	NA	0	NA
87	GE87	2HL	HL	1	Nam	38.92013797	-75.44832488	76	113.6	16	624	44.57481562
88	GE88	16SH	SH	1	Eur	48.21292953	18.93131109	50	60.8	11	115	NA
89	GE89	2FL	FL	1	Nam	44.750014	-79.704694	NA	NA	NA	NA	NA
90	GE90	6PR	PR	1	Nam	40.65946579	-76.91820217	NA	NA	NA	NA	NA
91	GE91	20PE	PE	1	Eur	51.35332297	19.60609006	44	76.8	14	128	NA
92	GE92	20HK	HK	1	Eur	46.89164819	19.65085249	38	57.2	23	615.8888889	19.85465588
93	GE93	7PV	PV	1	Eur	49.8798343	19.89245121	NA	NA	NA	NA	NA
94	GE94	6SB	SB	1	Eur	49.13566482	21.55096851	42	68.6	13	250	14.73272696
95	GE95	18PB	PB	1	Eur	50.12194	18.81494	29	37.6	9	105	0.930539811
96	GE96	19PB	PB	1	Eur	50.12194	18.81494	NA	NA	NA	NA	NA
97	GE97	3AV	AV	1	Nam	40.20018743	-76.76244026	48	77.6	16	362.4	20.72644622
98	GE98	9DH	DH	1	Nam	38.68109706	-75.07450333	NA	NA	NA	NA	NA
99	GE99	1AV	AV	1	Nam	40.20018743	-76.76244026	52	10.2	0	0	NA
100	GE100	16DF	DF	1	Nam	39.32390625	-75.62242479	44	67	11	198	13.26269106
101	GE101	6MF	MF	1	Nam	38.40708263	-75.56824697	52	133.2	15	324	39.1833654
102	GE102	60RM	RM	1	Eur	44.74194	4.940783	52	46.6	6	48	2.99112993
103	GE103	61SL	SL	1	Eur	49.222985	19.302752	34	78.8	19	489.25	24.61399891
104	GE104	6PV	PV	1	Eur	49.8798343	19.89245121	62	68.8	16	165.3333333	9.168211659
105	GE105	2SB	SB	1	Eur	49.13566482	21.55096851	NA	NA	NA	NA	NA
106	GE106	7PT	PT	1	Nam	40.07056	-75.436571	NA	NA	NA	NA	NA
107	GE107	9SH	SH	1	Eur	48.21292953	18.93131109	48	68.8	13	154	NA
108	GE108	4HB	HB	1	Eur	47.8226962	19.089972	NA	NA	NA	NA	NA
109	GE109	1331CB	CB	1	Nam	43.63519	-79.34576	71	85	24	348	17.38566051
110	GE110	6HB	HB	1	Eur	47.8226962	19.089972	54	55.6	8	152	9.28701773
111	GE111	12PE	PE	1	Eur	51.35332297	19.60609006	48	80.8	14	144	NA
112	GE112	1SB	SB	1	Eur	49.13566482	21.55096851	NA	NA	NA	NA	NA
113	GE113	18VN	VN	1	Nam	37.92026101	-75.47660198	58	105.8	14	175	23.85202763
114	GE114	11SU	SU	1	Nam	41.45751046	-77.13565654	56	94.8	16	129.7777778	16.73146842
115	GE115	3HB	HB	1	Eur	47.8226962	19.089972	56	60	12	186	9.634429997
116	GE116	2SZ	SZ	1	Eur	48.74195476	19.13689272	44	80.6	15	393	23.75615684
117	GE117	2SD	SD	1	Nam	45.225364	-79.681836	48	86.4	16	362.4	NA
118	GE118	1PO	PO	1	Eur	50.22392429	19.17026453	NA	NA	NA	NA	NA
119	GE119	13PV	PV	1	Eur	49.8798343	19.89245121	56	66.2	24	589.3333333	21.19591862
120	GE120	46FL	FL	1	Nam	44.750014	-79.704694	38	68.8	11	297	18.15255664
121	GE121	8FL	FL	1	Nam	44.750014	-79.704694	32	43.8	10	226.6666667	7.045914205
122	GE122	7DH	DH	1	Nam	38.68109706	-75.07450333	86	100.5	13	71.5	18.20805812
123	GE123	32FL	FL	1	Nam	44.750014	-79.704694	34	72.4	11	288	19.02433213
124	GE124	32SL	SL	1	Eur	49.222985	19.302752	48	70	22	542.6666667	21.84401212
125	GE125	9PT	PT	1	Nam	40.07056	-75.436571	NA	NA	NA	NA	NA
126	GE126	91HR	HR	1	Eur	47.13845	19.47464	27	45.2	10	86.66666667	1.510851278
127	GE127	4OM	OM	1	Nam	37.77932728	-75.61065442	76	102.2	16	580	38.69425709
128	GE128	7PA	PA	1	Nam	39.930872	-75.583156	76	79.8	7	87	15.61728583
129	GE129	9PA	PA	1	Nam	39.930872	-75.583156	54	110	15	148	23.49539379
130	GE130	43FL	FL	1	Nam	44.750014	-79.704694	NA	NA	NA	NA	NA
131	GE131	9PO	PO	1	Eur	50.22392429	19.17026453	46	61.8	10	255	14.56058911
132	GE132	101LH	LH	1	Eur	45.66117	4.966539	NA	NA	NA	NA	NA
133	GE133	1HB	HB	1	Eur	47.8226962	19.089972	NA	NA	NA	NA	NA
134	GE134	9HJ	HJ	1	Eur	47.70273145	20.07493272	NA	NA	NA	NA	NA
135	GE135	15PT	PT	1	Nam	40.07056	-75.436571	NA	NA	NA	NA	NA
136	GE136	25LH	LH	1	Eur	45.66117	4.966539	NA	NA	NA	NA	NA
137	GE137	20SH	SH	1	Eur	48.21292953	18.93131109	66	80	12	124	NA
138	GE138	109RM	RM	1	Eur	44.74194	4.940783	NA	NA	NA	NA	NA
139	GE139	5OM	OM	1	Nam	37.77932728	-75.61065442	NA	NA	NA	NA	NA
140	GE140	20WC	WC	1	Nam	44.003197	-79.393311	NA	NA	NA	NA	NA
141	GE141	5PT	PT	1	Nam	40.07056	-75.436571	NA	NA	NA	NA	NA
142	GE142	5HL	HL	1	Nam	38.92013797	-75.44832488	67	85.6	23	794.2666667	37.46361992
143	GE143	16FL	FL	1	Nam	44.750014	-79.704694	50	58.2	22	220	3.831525516
144	GE144	12DF	DF	1	Nam	39.32390625	-75.62242479	NA	NA	NA	NA	NA
